,代码,名称,收盘价,5日均线,10日均线,20日均线,30日交易量,30日交易额
659,600808.XSHG,马钢股份,2.97,2.3440000000000003,2.488,2.5765000000000002,1888251869.0,5212465069.960001
660,300653.XSHE,正海生物,75.19,59.763999999999996,68.56300000000002,70.27850000000001,56010893.0,4118519261.34
661,002485.XSHE,希努尔,5.44,4.246,4.624,5.034999999999999,136842252.0,750066743.91
662,600528.XSHG,中铁工业,10.0,7.890000000000001,8.489,8.709999999999999,268114913.0,2516080709.07
663,002117.XSHE,东港股份,12.77,10.05,10.725,10.738499999999998,325857655.0,3783987908.8099995
664,603618.XSHG,杭电股份,6.2,4.84,5.196000000000001,5.402,143305360.0,826756207.86
665,002454.XSHE,松芝股份,5.22,4.029999999999999,4.363999999999999,4.5345,115698828.0,559858955.87
666,300172.XSHE,中电环保,5.23,4.102,4.453,4.609500000000001,62194065.0,307862961.66
667,600891.XSHG,*ST秋林,1.19,0.952,1.0709999999999997,1.1305,0.0,0.0
668,300269.XSHE,联建光电,3.73,2.8880000000000003,3.1,3.255499999999999,127136231.0,439632807.21999997
669,603390.XSHG,通达电气,14.39,11.129999999999999,12.087,12.653,76818868.0,1035057324.8299999
670,600599.XSHG,*ST熊猫,5.38,4.262,4.753000000000001,5.3105,135967152.0,732906831.1000001
671,002949.XSHE,华阳国际,21.2,16.291999999999998,16.502,16.5325,59608326.0,1116848057.56
672,601616.XSHG,广电电气,3.59,2.79,3.005,3.1270000000000002,321610480.0,1073663072.6599998
673,603101.XSHG,汇嘉时代,7.11,5.31,5.819,5.907,378372811.0,2381968248.49
674,600187.XSHG,国中水务,2.48,1.932,2.0810000000000004,2.1544999999999996,284234867.0,658814304.1400001
675,600844.XSHG,丹化科技,3.47,2.732,2.9659999999999997,3.1405,128983843.0,428845633.81
676,002384.XSHE,东山精密,32.38,25.098000000000003,27.276,27.835500000000003,1117398442.0,33026359397.94
677,603212.XSHG,赛伍技术,30.82,23.412,24.986,25.2955,164729834.0,4461647857.58
678,300485.XSHE,赛升药业,23.67,18.082,19.951,21.502500000000005,777241453.0,17953006415.09
679,002227.XSHE,奥特迅,15.31,11.996,13.008,13.3305,80898971.0,1147223725.8000002
680,000829.XSHE,天音控股,7.4,5.69,6.06,6.1885,960118414.0,6468950467.02
681,601368.XSHG,绿城水务,5.76,4.531999999999999,4.938000000000001,5.1425,71808482.0,394242048.22
682,600108.XSHG,亚盛集团,3.49,2.72,2.9510000000000005,3.0845000000000002,601103821.0,1971107055.9
